t(s)	ag(m/s^2)
18.68	0.01984
18.7	0.12352
18.72	0.17415
18.74	0.22655
18.76	0.31105
18.78	0.33741
18.8	0.21418
18.82	0.04391
18.84	-0.03334
18.86	-0.02473
18.88	0.00259
18.9	0.0012
18.92	-0.01582
18.94	-0.01844
18.96	-0.02789
18.98	-0.05283
19	-0.07624
19.02	-0.10098
19.04	-0.1083
19.06	-0.0986
19.08	-0.0735
19.1	-0.0691
19.12	-0.10673
19.14	-0.15931
19.16	-0.15706
19.18	-0.07261
19.2	0.01104
19.22	0.02735
19.24	0.00391
19.26	-0.01751
19.28	-0.04987
19.3	-0.09569
19.32	-0.10394
19.34	-0.12491
19.36	-0.16641
19.38	-0.15414
19.4	-0.06859
19.42	0.02048
19.44	0.05733
19.46	0.10514
19.48	0.16679
19.5	0.13504
19.52	0.09877
19.54	0.13868
19.56	0.16806
19.58	0.12045
19.6	0.00411
19.62	-0.11666
19.64	-0.08915
19.66	-0.00306
19.68	0.05656
19.7	0.08185
19.72	0.04658
19.74	0.0532
19.76	0.14824
19.78	0.24124
19.8	0.2495
19.82	0.18058
19.84	0.10093
19.86	0.05723
19.88	0.08045
19.9	0.18504
19.92	0.29891
19.94	0.32716
19.96	0.23366
19.98	0.05224
20	-0.06483
20.02	-0.06983
20.04	-0.04916
20.06	-0.07816
20.08	-0.13421
20.1	-0.1385
20.12	-0.06457
20.14	-0.00658
20.16	-0.02827
20.18	-0.09058
20.2	-0.06519
20.22	0.03787
20.24	0.14789
20.26	0.15186
20.28	0.02966
20.3	-0.04197
20.32	0.04003
20.34	0.17692
20.36	0.26162
20.38	0.27413
20.4	0.21737
20.42	0.12729
20.44	0.08882
20.46	0.14821
20.48	0.22217
20.5	0.23458
20.52	0.20073
20.54	0.19182
20.56	0.21756
20.58	0.22078
20.6	0.17734
20.62	0.17969
20.64	0.24605
20.66	0.26103
20.68	0.21889
20.7	0.14874
20.72	0.11011
20.74	0.12397
20.76	0.16463
20.78	0.18951
20.8	0.20208
20.82	0.22384
20.84	0.21416
20.86	0.14758
20.88	0.06578
20.9	0.00827
20.92	-0.03171
20.94	-0.10682
20.96	-0.22864
20.98	-0.2856
21	-0.23151
21.02	-0.15856
21.04	-0.08046
21.06	-0.00748
21.08	0.00409
21.1	-0.05429
21.12	-0.13087
21.14	-0.15135
21.16	-0.0891
21.18	0.03097
21.2	0.13649
21.22	0.16186
21.24	0.06607
21.26	-0.03244
21.28	-0.01842
21.3	0.01061
21.32	0.02379
21.34	0.03546
21.36	0.01175
21.38	-0.08791
21.4	-0.23494
21.42	-0.37069
21.44	-0.44042
21.46	-0.45902
21.48	-0.43666
21.5	-0.39402
21.52	-0.32926
21.54	-0.24884
21.56	-0.18771
21.58	-0.12899
21.6	-0.09076
21.62	-0.09257
21.64	-0.08779
21.66	-0.04985
21.68	-0.01992
21.7	0.00044
21.72	0.0265
21.74	0.02951
21.76	-0.01851
21.78	-0.02113
21.8	0.00422
21.82	-0.02108
21.84	-0.11177
21.86	-0.21253
21.88	-0.29877
21.9	-0.31686
21.92	-0.31931
21.94	-0.3516
21.96	-0.35534
21.98	-0.30728
22	-0.24403
22.02	-0.15062
22.04	-0.07334
22.06	-0.0741
22.08	-0.07605
22.1	-0.0504
22.12	-0.03003
22.14	-0.02209
22.16	-0.03246
22.18	-0.06409
22.2	-0.1122
22.22	-0.14124
22.24	-0.10939
22.26	-0.03622
22.28	0.02385
22.3	0.05127
22.32	0.07568
22.34	0.08748
22.36	0.10606
22.38	0.11673
22.4	0.01919
22.42	-0.1505
22.44	-0.24031
22.46	-0.27417
22.48	-0.23273
22.5	-0.14033
22.52	-0.04495
22.54	-0.002
22.56	0.02197
22.58	0.04895
22.6	0.02655
22.62	-0.00179
22.64	0.02693
22.66	0.0342
22.68	-0.00208
22.7	-0.03663
22.72	-0.04467
22.74	-0.0741
22.76	-0.13261
22.78	-0.19076
22.8	-0.25194
22.82	-0.26683
22.84	-0.24834
22.86	-0.20875
22.88	-0.13796
22.9	-0.0472
22.92	0.00183
22.94	-0.03072
22.96	-0.08998
22.98	-0.12344
23	-0.12309
23.02	-0.0848
23.04	-0.03526
23.06	-0.01651
23.08	0.00046
23.1	0.02618
23.12	0.03422
23.14	0.01409
23.16	-0.00028
23.18	0.01411
23.2	0.02807
23.22	0.06953
23.24	0.13244
23.26	0.12641
23.28	0.0461
23.3	-0.02942
23.32	-0.08658
23.34	-0.14969
23.36	-0.18902
23.38	-0.18926
23.4	-0.15372
23.42	-0.08674
23.44	-0.01122
23.46	0.03452
23.48	0.05987
23.5	0.10351
23.52	0.16295
23.54	0.23973
23.56	0.27972
23.58	0.24868
23.6	0.1681
23.62	0.07806
23.64	0.02843
23.66	0.00701
23.68	0.00875
23.7	0.03534
23.72	0.1097
23.74	0.21145
23.76	0.26869
23.78	0.24651
23.8	0.18861
23.82	0.12218
23.84	0.08524
23.86	0.05369
23.88	0.01705
23.9	-0.03188
23.92	-0.0508
23.94	-0.02458
23.96	0.03148
23.98	0.087
24	0.09712
24.02	0.07096
24.04	0.10729
24.06	0.12684
24.08	0.05553
24.1	-0.02858
24.12	-0.03271
24.14	0.03292
24.16	0.11877
24.18	0.17251
24.2	0.1874
24.22	0.16958
24.24	0.16315
24.26	0.13562
24.28	0.09368
24.3	0.09558
24.32	0.10213
24.34	0.06269
24.36	-0.01512
24.38	-0.07465
24.4	-0.10458
24.42	-0.11439
24.44	-0.11496
24.46	-0.09299
24.48	-0.05847
24.5	-0.02209
24.52	0.03958
24.54	0.10795
24.56	0.11163
24.58	0.05515
24.6	-0.01647
24.62	-0.07074
24.64	-0.08058
24.66	-0.06091
24.68	-0.0298
24.7	-0.002
24.72	0.0089
24.74	0.0114
24.76	0.01849
24.78	0.00686
24.8	0.00933
24.82	0.032
24.84	0.06587
24.86	0.109
24.88	0.10791
24.9	0.03505
24.92	-0.03797
24.94	-0.04396
24.96	-0.03268
24.98	-0.00479
25	0.02921
25.02	0.05692
25.04	0.07541
25.06	0.07338
25.08	0.07344
25.1	0.06196
25.12	0.06324
25.14	0.09267
25.16	0.09684
25.18	0.06474
25.2	0.05859
25.22	0.08419
25.24	0.10955
25.26	0.13336
25.28	0.13246
25.3	0.10772
25.32	0.09653
25.34	0.11099
25.36	0.1199
25.38	0.08261
25.4	0.04676
25.42	0.0415
25.44	0.0441
25.46	0.04889
25.48	0.05791
25.5	0.04573
25.52	0.01051
25.54	-0.00923
25.56	-0.0263
25.58	-0.02281
25.6	-0.01717
25.62	-0.04088
25.64	-0.10972
25.66	-0.1848
25.68	-0.24752
25.7	-0.25673
25.72	-0.19042
25.74	-0.11215
25.76	-0.07771
25.78	-0.05789
25.8	-0.01872
25.82	0.03666
25.84	0.10875
25.86	0.20308
25.88	0.26426
25.9	0.25369
25.92	0.20511
25.94	0.14705
25.96	0.09588
25.98	0.09265
26	0.12061
26.02	0.13453
26.04	0.13815
26.06	0.12627
26.08	0.09549
26.1	0.08051
26.12	0.08399
26.14	0.12475
26.16	0.19148
26.18	0.24634
26.2	0.2704
26.22	0.23457
26.24	0.19044
26.26	0.1652
26.28	0.15587
26.3	0.12731
26.32	0.07154
26.34	-0.00411
26.36	-0.06513
26.38	-0.10516
26.4	-0.1359
26.42	-0.15565
26.44	-0.17716
26.46	-0.19111
26.48	-0.19815
26.5	-0.21828
26.52	-0.22969
26.54	-0.20015
26.56	-0.15369
26.58	-0.12622
26.6	-0.15746
26.62	-0.19731
26.64	-0.18004
26.66	-0.16927
26.68	-0.16049
26.7	-0.17145
26.72	-0.17257
26.74	-0.13448
26.76	-0.08783
26.78	-0.04581
26.8	0.0065
26.82	0.06039
26.84	0.08934
26.86	0.07505
26.88	0.05251
26.9	0.02236
26.92	0.00343
26.94	0.0176
26.96	0.03616
26.98	0.05843
27	0.07589
27.02	0.06445
27.04	0.02567
27.06	-0.052
27.08	-0.12308
27.1	-0.13295
27.12	-0.08633
27.14	-0.01052
27.16	0.03522
27.18	0.0522
27.2	0.05578
27.22	0.04026
27.24	0.02994
27.26	0.03908
27.28	0.06565
27.3	0.10535
27.32	0.1291
27.34	0.11565
27.36	0.08907
27.38	0.07081
27.4	0.04128
27.42	0.00822
27.44	-0.05005
27.46	-0.08283
27.48	-0.06286
27.5	-0.03283
27.52	-0.00686
27.54	0.00356
27.56	-0.02515
27.58	-0.08102
27.6	-0.12586
27.62	-0.12925
27.64	-0.06854
27.66	0.00817
27.68	0.01733
27.7	-0.00476
27.72	-0.02731
27.74	-0.07641
27.76	-0.12139
27.78	-0.12453
27.8	-0.09276
27.82	-0.05256
27.84	-0.02861
27.86	-0.04128
27.88	-0.05707
27.9	-0.07711
27.92	-0.09821
27.94	-0.09436
27.96	-0.07206
