T	acela. (m)
21.38	0.02355
21.4	-0.00386
21.42	-0.07938
21.44	-0.17591
21.46	-0.23588
21.48	-0.25992
21.5	-0.25835
21.52	-0.21384
21.54	-0.15449
21.56	-0.06452
21.58	0.06567
21.6	0.16028
21.62	0.20644
21.64	0.18853
21.66	0.15148
21.68	0.09411
21.7	0.0153
21.72	-0.06978
21.74	-0.06159
21.76	-0.00867
21.78	0.06584
21.8	0.07405
21.82	-0.02281
21.84	-0.13426
21.86	-0.25922
21.88	-0.36496
21.9	-0.32087
21.92	-0.23087
21.94	-0.1257
21.96	-0.02156
21.98	0.10948
22	0.2465
22.02	0.33546
22.04	0.35963
22.06	0.33093
22.08	0.33418
22.1	0.35899
22.12	0.35725
22.14	0.35666
22.16	0.38238
22.18	0.39214
22.2	0.24526
22.22	0.05192
22.24	-0.13001
22.26	-0.23231
22.28	-0.30187
22.3	-0.27504
22.32	-0.16111
22.34	0.05965
22.36	0.16349
22.38	0.23786
22.4	0.16224
22.42	0.06185
22.44	-0.0654
22.46	-0.16012
22.48	-0.21456
22.5	-0.21431
22.52	-0.18673
22.54	-0.06707
22.56	0.03034
22.58	0.08374
22.6	0.10879
22.62	0.12813
22.64	0.11802
22.66	0.102
22.68	0.08598
22.7	0.06819
22.72	-0.00027
22.74	-0.10873
22.76	-0.1562
22.78	-0.09654
22.8	-0.00942
22.82	0.11369
22.84	0.19189
22.86	0.24685
22.88	0.26147
22.9	0.22099
22.92	0.17157
22.94	0.14017
22.96	0.12105
22.98	0.08864
23	0.04651
23.02	-0.00788
23.04	-0.0878
23.06	-0.17249
23.08	-0.24002
23.1	-0.16294
23.12	-0.05373
23.14	0.08291
23.16	0.1286
23.18	0.05975
23.2	-0.01527
23.22	-0.10813
23.24	-0.19132
23.26	-0.27608
23.28	-0.21856
23.3	-0.08296
23.32	0.06129
23.34	0.1422
23.36	0.17923
23.38	0.17408
23.4	0.18945
23.42	0.23376
23.44	0.22588
23.46	0.13919
23.48	0.0471
23.5	-0.05955
23.52	-0.13548
23.54	-0.15085
23.56	-0.10687
23.58	-0.05151
23.6	-0.00943
23.62	0.00682
23.64	-0.00831
23.66	-0.07204
23.68	-0.14975
23.7	-0.19692
23.72	-0.1904
23.74	-0.15961
23.76	-0.13685
23.78	-0.14769
23.8	-0.1632
23.82	-0.15881
23.84	-0.13396
23.86	-0.13212
23.88	-0.14547
23.9	-0.14694
23.92	-0.11461
23.94	-0.11763
23.96	-0.10544
23.98	-0.05543
24	-0.00267
24.02	-0.03946
24.04	-0.1015
24.06	-0.17067
24.08	-0.16975
24.1	-0.14505
24.12	-0.13268
24.14	-0.12993
24.16	-0.14216
24.18	-0.10776
24.2	-0.01946
24.22	0.07692
24.24	0.15504
24.26	0.1757
24.28	0.19253
24.3	0.21404
24.32	0.24659
24.34	0.24842
24.36	0.17804
24.38	0.09175
24.4	0.01298
24.42	0.05523
24.44	0.08805
24.46	0.05447
24.48	0.00766
24.5	0.01023
24.52	0.02117
24.54	-0.02162
24.56	-0.08314
24.58	-0.12682
24.6	-0.1014
24.62	-0.07433
24.64	-0.08662
