t (s)	ag (m/s^2)
9.3	-0.0000589570
9.31	0.0000938530
9.32	0.0002319600
9.33	0.0001738100
9.34	-0.0000089855
9.35	-0.0000243050
9.36	-0.0002515700
9.37	-0.0002313600
9.38	0.0001255600
9.39	0.0002509900
9.4	0.0001640000
9.41	-0.0001784300
9.42	-0.0002155600
9.43	0.0000802870
9.44	0.0001662700
9.45	0.0000282430
9.46	-0.0000318470
9.47	0.0000767830
9.48	-0.0001409500
9.49	-0.0003135000
9.5	-0.0000012512
9.51	0.0002072200
9.52	0.0001577600
9.53	0.0000483310
9.54	-0.0000233170
9.55	-0.0001007100
9.56	-0.0001541200
9.57	0.0001098500
9.58	0.0001656100
9.59	-0.0002002300
9.6	-0.0001839300
9.61	0.0001789100
9.62	0.0002972800
9.63	-0.0000025571
9.64	-0.0002211700
9.65	-0.0000539680
9.66	0.0000498960
9.67	-0.0000144760
9.68	0.0000097309
9.69	0.0000763750
9.7	-0.0000516980
9.71	-0.0001518400
9.72	0.0000664040
9.73	0.0003098500
9.74	0.0000851580
9.75	-0.0002495100
9.76	-0.0001048200
9.77	0.0000198280
9.78	-0.0000536650
9.79	0.0000083992
9.8	0.0001578300
9.81	0.0001970100
9.82	-0.0000510600
9.83	-0.0002337400
9.84	-0.0000506570
9.85	0.0000261500
9.86	-0.0001008100
9.87	0.0000364280
9.88	0.0002288400
9.89	0.0001067800
9.9	-0.0000514850
9.91	-0.0000829050
9.92	-0.0001218100
9.93	-0.0000725490
9.94	0.0000577270
9.95	0.0000580580
9.96	-0.0000030400
9.97	0.0000489590
9.98	0.0000759940
9.99	0.0000099160
10	0.0000251710
10.01	0.0000404210
10.02	-0.0000649390
10.03	-0.0000999510
10.04	-0.0000440900
10.05	-0.0000212240
10.06	0.0000474740
10.07	0.0000871510
10.08	0.0001089000
10.09	0.0000560980
10.1	-0.0001206000
10.11	-0.0001537900
10.12	-0.0000112790
10.13	0.0001473000
10.14	0.0000774540
10.15	-0.0000515000
10.16	-0.0000934670
10.17	-0.0001210300
10.18	0.0000865230
10.19	0.0002385700
10.2	0.0001071600
10.21	-0.0000921100
10.22	-0.0001923500
10.23	-0.0001022600
10.24	0.0000173410
10.25	0.0000884970
10.26	0.0000562490
10.27	0.0000197470
10.28	0.0000650160
10.29	0.0000107640
10.3	-0.0000756600
10.31	-0.0000389840
10.32	0.0000644690
10.33	-0.0000294560
10.34	-0.0002248400
10.35	-0.0001802500
10.36	0.0000559560
10.37	0.0003390200
10.38	0.0003465500
10.39	-0.0000514550
10.4	-0.0002531000
10.41	-0.0000916890
10.42	-0.0000529550
10.43	-0.0001817800
10.44	-0.0000829230
10.45	0.0002481800
10.46	0.0002871200
10.47	0.0000081116
10.48	-0.0001927400
10.49	-0.0001521200
10.5	0.0001075200
10.51	0.0001575700
10.52	-0.0000421990
10.53	-0.0000126160
10.54	0.0000278430
10.55	-0.0001324900
10.56	-0.0001224500
10.57	-0.0000120880
10.58	-0.0000629090
10.59	0.0000283360
10.6	0.0002767500
10.61	0.0001984700
10.62	-0.0001331700
10.63	-0.0001917700
10.64	0.0000271540
10.65	0.0000378710
10.66	-0.0001225900
10.67	-0.0000622090
10.68	0.0001173000
10.69	0.0000680990
10.7	-0.0000832070
10.71	0.0000486880
10.72	0.0001761900
10.73	0.0000691700
10.74	-0.0000341520
10.75	-0.0001106800
10.76	-0.0000940950
10.77	-0.0001009300
10.78	-0.0000737130
10.79	0.0001785400
10.8	0.0001969000
10.81	-0.0000121150
10.82	-0.0000424340
10.83	-0.0000327650
10.84	-0.0000518830
10.85	-0.0001231700
10.86	-0.0001216800
10.87	0.0001268300
10.88	0.0002280900
10.89	0.0000472560
10.9	-0.0001024800
10.91	-0.0001221800
10.92	-0.0000529570
10.93	0.0000981130
10.94	0.0001669900
10.95	0.0000378620
10.96	-0.0001225200
10.97	-0.0002128100
10.98	-0.0001417800
